title,,,,,,,,,,
vector-graphic?,no,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,,,,,,,,,,
y-axis label,,,,,,,,,,
x-axis tic labels,0,100,200,300,400,500,,,,
y-axis tic labels,0,50,100,150,,,,,,
legend labels,,,,,,,,,,
legend colours or styles,,,,,,,,,,
bar chart count,,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,
,,180,65,18,5,6,4,4,7,3,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,,
,,0,100,200,300,400,500,,,,
