title,Figure 1.3 Age profile of woodland in GB,,,,,,
vector-graphic?,no,,,,,,
objects-not-accounted-for-present?,no,,,,,,
x-axis label,,,,,,,
y-axis label,Thousands of hectars,,,,,,
x-axis tic labels,,,,,,,
y-axis tic labels,0,100,200,300,400,500,600
legend labels,Conifers,Bradleaves,,,,,
legend colours or styles,brown,orange,,,,,
bar chart count,2,,,,,,
grouped by (x-value or legend-value),legend,,,,,,
bar-y-values,,,,,,,
Conifers,brown,280,510,400,80,20,20
Bradleaves,orange,350,360,270,180,110,80
bar-y-top-conf-value,,,,,,,
,,,,,,,
,,,,,,,
bar-y-bottom-conf-value,,,,,,,
,,,,,,,
,,,,,,,
bar-x-values,0-20,21-40,41-60,61-80,81-100,100+,
