title,Mortgage Rate (%),,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,,
x-axis label,,,,,,,,,,,,
y-axis label,,,,,,,,,,,,
x-axis tic labels,,,,,,,,,,,,
y-axis tic labels,0,1,2,3,4,5,6,7,8,9,10,11
legend labels,,,,,,,,,,,,
legend colours or styles,,,,,,,,,,,,
bar chart count,1,,,,,,,,,,,
grouped by (x-value or legend-value),,,,,,,,,,,,
bar-y-values,,,
,,10.32,10.13,8.76,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
bar-x-values,,,
,,1989,1990,1991,,,,,,,,,
