title,,,,,,,
vector-graphic?,yes,,,,,,
objects-not-accounted-for-present?,yes,,,,,,
data label present?,no,,,,,,
x-axis label,,,,,,,
y-axis label,Nuclear Density [nuc/mm^2],,,,,,
x-axis tic labels,,,,,,,
y-axis tic labels,0,1,2,3,4,5,6
legend labels,Surgical,Naive,,,,,
legend colours or styles,green,White,,,,,
bar chart count,2,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,
bar-y-values,,,,,,,
Surgical ,green,4.2,4.7,4,,,
Naive,white,4.6,4.4,4,,,
bar-y-top-conf-value,,,,,,,
Surgical ,green,5.1,5.1,4.9,,,
Naive,white,5.3,4.7,4.3,,,
bar-y-bottom-conf-value,,,,,,,
Surgical ,green,3.4,4,3.4,,,
Naive,white,3.9,4.1,3.8,,,
bar-x-values,,,,,,,
Surgical ,green,Proximal Control,Lengthened,Distal Control,,,
Naive,white,Proximal Control,Lengthened,Distal Control,,,
