title,,,,,,,,,,
vector-graphic?,no,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,,,,,,,,,,
y-axis label,C O 2 (kg/mile),,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,0,0.5,1,1.5,2,2.5,3,,,
legend labels,PERE,Measured,,,,,,,,
legend colours or styles,lilac,maroon,,,,,,,,
bar chart count,2,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,,,,,,,,,
PERE,lilac,2.7,2.5,2.3,1.9,1.8,1.7,1.8,1.7,1.4
Measured,maroon,2.5,2.3,2.2,1.9,1.6,1.7,1.6,1.4,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,"palm springs, 14 liters,400hp@ 1800rpm(truck b)","palmsprings, 12.7liters,380hp@ 1800rpm(truck c)","palmsprings, 14.6liters,475hp@ 2100rpm(truck d)","palmsprings, 10.8liters,330hp@ 1800rpm(truck e)",bus 1,bus 2,bus 3,bus 4, bus 5,
