title,Count of butterfly species,,,,,,
vector-graphic?,yes,,,,,,
objects-not-accounted-for-present?,no,,,,,,
x-axis label,Species,,,,,,
y-axis label,count,,,,,,
x-axis tic labels,,,,,,,
y-axis tic labels,0,50,100,,,,
legend labels,,,,,,,
legend colours or styles,,,,,,,
bar chart count,1,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,
bar-y-values,,
,,85,5,20,10,120,30,40
,,,,,,,
,,,,,,,
,,,,,,,
bar-y-top-conf-value,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
bar-y-bottom-conf-value,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
bar-x-values,,
,,Cabbage White,Comma,Gatekeeper,Painted Lady,Peacock,Skipper,Tortoiseshell
