title,August car sales figures by make of cars,,,,,,,,,
vector-graphic?,no,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,Make of cars,,,,,,,,,
y-axis label,,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,0,50,100,150,200,250,300,350,,
legend labels,,,,,,,,,,
legend colours or styles,,,,,,,,,,
bar chart count,1,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,
,,300,150,45,100,20,160,155,10,150,55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,,
,,Nissan,Toyota,BMW,Honda,Land Rover,Vauxall,Peugeot,Jaguar,MG Rover,Others
