title,,,,,,
vector-graphic?,no,,,,,
objects-not-accounted-for-present?,yes,,,,,
x-axis label,[H2O2] (M),,,,,
y-axis label,Distance (a.\mu),,,,,
x-axis tic labels,0.15,0.3,0.45,0.6,0.75,0.9
y-axis tic labels,0,20,40,60,80,
legend labels,,,,,,
legend colours or styles,,,,,,
bar chart count,,,,,,
grouped by (x-value or legend-value),x-value,,,,,
bar-y-values,,
,,8,56,70,62,28,20
,,,,,,
,,,,,,
,,,,,,
bar-y-top-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-y-bottom-conf-value,,,,,,
,,,,,,
,,,,,,
,,,,,,
bar-x-values,,
,,0.15,0.3,0.45,0.6,0.75,0.9
