title,,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,
x-axis label,Percent of times the phone was in the vertical position,,,,,,,,,,
y-axis label,Percent of User Nights,,,,,,,,,,
x-axis tic labels,10,20,30,40,50,60,70,80,90,100,
y-axis tic labels,0,0.1,0.2,0.3,0.4,0.5,0.6,,,,
legend labels,W/O Alcohol,Alcohol,,,,,,,,,
legend colours or styles,blue,red,,,,,,,,,
bar chart count,2,,,,,,,,,,
grouped by (x-value or legend-value),legend,,,,,,,,,,
bar-y-values,,,,,,,,,,,
W/O Alcohol,blue,0.58,0.21,0.09,0.03,0.03,0.025,0.02,0.02,0.01,0.01
Alcohol,red,0.19,0.16,0.18,0.16,0.14,0.1,0.07,0.05,0.02,0.01
,,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bar-x-values,10,20,30,40,50,60,70,80,90,100,
