title,,,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,yes,,,,,,,,
x-axis label,,,,,,,,,
y-axis label,Fold increase in repopulating cells,,,,,,,,
x-axis tic labels,,,,,,,,,
y-axis tic labels,0,2,4,6,8,10,12,14,16
legend labels,,,,,,,,,
legend colours or styles,,,,,,,,,
bar chart count,1,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,
bar-y-values,,,
,,1,11,3,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-top-conf-value,,
,,1,13.5,3.2,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,,
,,Virgin,12.5 day pregnant,18.5 day pregnant,,,,,,
