title,,,,,,,
vector-graphic?,yes,,,,,,
objects-not-accounted-for-present?,yes,,,,,,
x-axis label,Conditions,,,,,,
y-axis label,Glucose yield (%),,,,,,
x-axis tic labels,0,5,10,15,20,25,30
y-axis tic labels,,,,,,,
legend labels,,,,,,,
legend colours or styles,,,,,,,
bar chart count,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,
bar-y-values,,
,,25,23,24,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
bar-y-top-conf-value,,
,,26,24.5,25.5,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
bar-y-bottom-conf-value,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
bar-x-values,,
"Antibiotic non steril","Sodium azide
non steril",MSW Steril,MSW non steril,,,
