title,,,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,,,,,,,,,
y-axis label,,,,,,,,,
x-axis tic labels,,,,,,,,,
y-axis tic labels,0,10,20,30,40,50,60,70,80
legend labels,,,,,,,,,
legend colours or styles,,,,,,,,,
bar chart count,1,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,
bar-y-values,,
,,9,7,22,69,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,,,
,,Sample A,Sample B,Sample C,Sample D,,,,,
