title,"Figure 9: Age distribution for Queensland population, 30 June 2012",,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,Age,,,,,,,,
y-axis label,Persons,,,,,,,,
x-axis tic labels,,,,,,,,,
y-axis tic labels,0,100000,200000,300000,400000,500000,600000,700000,
legend labels,,,,,,,,,
legend colours or styles,,,,,,,,,
bar chart count,1,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,
bar-y-values,,
,,600050,600000,670000,630000,640000,585000,250000,175000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,
,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
