title,,,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,,,,,,,,,
y-axis label,,,,,,,,,
x-axis tic labels,0,5,10,15,20,25,30,35,40
y-axis tic labels,,,,,,,,,
legend labels,male,female,,,,,,,
legend colours or styles,blue,red,,,,,,,
bar chart count,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,
bar-y-values,,,,,,,,,
male,blue,8,13,16,37,,,,
female,red,0,0,34,34,,,,
,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,0-5 years,6-10 years,11-18 years,Total,,,,,
