title,,,,,,,,,,
vector-graphic?,no,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,Genre,,,,,,,,,
y-axis label,Conditional Prob.,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,0,5,10,15,20,,,,,
legend labels,Female,Male,,,,,,,,
legend colours or styles,Blue,Red,,,,,,,,
bar chart count,2,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,,,,,,,,,
Female,Blue,9,5.1,18,3,19.4,2,10,5.1,7.5
Male,Red,13,6,16,4,16,2.8,6,7.4,8
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,Action,Adventure,Comedy,Crime,Drama,Horror ,Romance,Sci-Fi,Thriller,
