title,,,,,,,,
vector-graphic?,no,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,
x-axis label,,,,,,,,
y-axis label,Costs £,,,,,,,
x-axis tic labels,0,5000,10000,15000,20000,25000,30000,35000
y-axis tic labels,,,,,,,,
legend labels,revision,ORIF,,,,,,
legend colours or styles,blue,red,,,,,,
bar chart count,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,
bar-y-values,,,,,,,,
revision,blue,5000,24500,,,,,
ORIF,red,1800,31000,,,,,
,,,,,,,,
bar-y-top-conf-value,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bar-x-values,Procedure,In patients stay,,,,,,
