title,The proportion of relevant GATHER items reported per study,,,,,,,,,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,,,,,,,,,
x-axis label,The GATHER performance score,,,,,,,,,,,,,,,,,,
y-axis label,% of papers,,,,,,,,,,,,,,,,,,
x-axis tic labels,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9
y-axis tic labels,0,5,10,15,20,,,,,,,,,,,,,,
legend labels,,,,,,,,,,,,,,,,,,,
legend colours or styles,,,,,,,,,,,,,,,,,,,
bar chart count,1,,,,,,,,,,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,,,,,,,,,,
bar-y-values,,,
,,0.5,0,3.5,4.3,2,6,8,15.5,17,9.5,15,9,7.5,7,5,3,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
bar-x-values,
,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9
