title,,,,,,,,,,,,,,,,,,,,,
vector-graphic?,no,,,,,,,,,,,,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,,,,,,,,,,,,
x-axis label,,,,,,,,,,,,,,,,,,,,,
y-axis label,"MS prevalence per 100,000",,,,,,,,,,,,,,,,,,,,
x-axis tic labels,,,,,,,,,,,,,,,,,,,,,
y-axis tic labels,0,20,40,60,80,100,120,140,160,180,200,,,,,,,,,,
legend labels,,,,,,,,,,,,,,,,,,,,,
legend colours or styles,,,,,,,,,,,,,,,,,,,,,
bar chart count,,,,,,,,,,,,,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,,,,,,,,,,,,
bar-y-values,,,
,,1,170,8,44,4,61,10,40,82,50,2,11,25,6,30,70,3,4,5,3,55
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
bar-x-values,
,,China,Cyprus,India,Iran,Iraq,Israel,Japan,Jordan,Kuwait,Lebanon,Malaysia,Mongolia,Oman,Pakistan,Patestinian Authority,Quatar,Republic of Korea,Singapore,Sri Lanka,Taiwan,Turkey
