title,"Percentage change in the number of business in Britain between 1998-1999, by industry",,,,,,,,,
vector-graphic?,no,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,,,,,,,,,,
y-axis label,percentage,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,-8,-6,-4,-2,0,2,4,6,8,10
legend labels,,,,,,,,,,
legend colours or styles,,,,,,,,,,
bar chart count,1,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,
,,-6,-4.2,-3.9,-3.8,0.6,7,7,8.2,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,,,
,,construction,utilities,agricolture,retail,tourism,education,transport,real estate,,
