title,,,,,,,,,
vector-graphic?,no,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,,,,,,,,,
y-axis label,,,,,,,,,
x-axis tic labels,,,,,,,,,
y-axis tic labels,0,2,4,6,8,10,12,14,16
legend labels,,,,,,,,,
legend colours or styles,blue,red,,,,,,,
bar chart count,,,,,,,,,
grouped by (x-value or legend-value),,,,,,,,,
bar-y-values,,,,,,,,,
blue,5,13,7,11,9,4,6,8,
red,1,12,3,15,5,3,6,9,
,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values,A,B,C,D,E,F,G,H,
