title,,,,,,,,,,
vector-graphic?,yes,,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,,
x-axis label,,,,,,,,,,
y-axis label,,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,0,20,40,60,80,100,120,140,160,180
legend labels,"Estimated Population
(Million)","Population in poverty
(Million)",,,,,,,,
legend colours or styles,blue,red,,,,,,,,
bar chart count,2,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,,,,,,,,,
"Estimated Population (Million)",blue,60,70,90,100,122,160,,,
"Population in poverty (Million)",red,18,32,38,63,62,110,,,
,,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,1980,1985,1992,1996,2004,2010,,,,
