title,Zonal incidence of poverty by different poverty measurements,,,,,,,,,
vector-graphic?,,,,,,,,,,
objects-not-accounted-for-present?,,,,,,,,,,
x-axis label,,,,,,,,,,
y-axis label,,,,,,,,,,
x-axis tic labels,,,,,,,,,,
y-axis tic labels,0,10,20,30,40,50,60,70,80,90
legend labels,Food Poor,Absolute Poor,Relative Poor,Dollar Per Day,,,,,,
legend colours or styles,blue,red,green,purple,,,,,,
bar chart count,4,,,,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,,,,
bar-y-values,,,,,,,,,,
Food Poor,blue,39,51,51,41,36,26,,,
Absolute Poor,red,59,69,70,59,56,50,,,
Relative Poor,green,68,77,78,67,64,59,,,
Dollar Per Day,purple,60,69,70,59,56,50,,,
bar-y-top-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bar-x-values,North Central,North East,North West,South East,South-South,South West,,,,
