title,,,,,,,
vector-graphic?,no,,,,,,
objects-not-accounted-for-present?,yes,,,,,,
x-axis label,Potential (V vs. RHE),,,,,,
y-axis label,TOF enhancements (folds),,,,,,
x-axis tic labels,-0.1,-0.2,-0.3,-0.4,-0.5,,
y-axis tic labels,0,5,10,15,20,25,30
legend labels,Pt@PCM,Pt@PCM-0.095%,Pt/C-20%,,,,
legend colours or styles,black,red,blue,,,,
bar chart count,3,,,,,,
grouped by (x-value or legend-value),x-value,,,,,,
bar-y-values,,,,,,,
Pt@PCM,black,5.1,10,12.6,14,16.2,
Pt@PCM-0.095%,red,4.3,11.8,16.5,20.1,24,
Pt/C-20%,blue,1,1,1,1,1,
bar-y-top-conf-value,,,,,,,
Pt@PCM,black,,,,,,
Pt@PCM-0.095%,red,,,,,,
Pt/C-20%,blue,,,,,,
bar-y-bottom-conf-value,,,,,,,
Pt@PCM,black,,,,,,
Pt@PCM-0.095%,red,,,,,,
Pt/C-20%,blue,,,,,,
bar-x-values,,,,,,,
Pt@PCM,black,-0.1,-0.2,-0.3,-0.4,-0.5,
Pt@PCM-0.095%,red,-0.1,-0.2,-0.3,-0.4,-0.5,
Pt/C-20%,blue,-0.1,-0.2,-0.3,-0.4,-0.5,
