title,,,,,,,,,
vector-graphic?,yes,,,,,,,,
objects-not-accounted-for-present?,no,,,,,,,,
x-axis label,Bin (# Annotation Sessions),,,,,,,,
y-axis label,# Participants,,,,,,,,
x-axis tic labels,0,2,4,6,8,10,12,14,More
y-axis tic labels,0,1,2,3,4,5,,,
legend labels,,,,,,,,,
legend colours or styles,,,,,,,,,
bar chart count,,,,,,,,,
grouped by (x-value or legend-value),,,,,,,,,
bar-y-values,,,,,,,
,,0,1,1,3,4,2,3,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-top-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-y-bottom-conf-value,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
bar-x-values
,,2,4,6,8,10,12,14,More,
